period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,PA,Pennsylvania,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,RI,Rhode Island,All Technologies,COM,commercial,24.355,264,megawatts,number of customers
2017,RI,Rhode Island,All Technologies,IND,industrial,0,0,megawatts,number of customers
2017,RI,Rhode Island,All Technologies,RES,residential,11.069,1904,megawatts,number of customers
2017,RI,Rhode Island,All Technologies,TOT,all sectors,35.424,2168,megawatts,number of customers
2017,RI,Rhode Island,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,RI,Rhode Island,Other Technologies,COM,commercial,.255,2,megawatts,number of customers
2017,RI,Rhode Island,Other Technologies,IND,industrial,,,megawatts,number of customers
2017,RI,Rhode Island,Other Technologies,RES,residential,.002,2,megawatts,number of customers
2017,RI,Rhode Island,Other Technologies,TOT,all sectors,.257,4,megawatts,number of customers
2017,RI,Rhode Island,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,RI,Rhode Island,Photovoltaic,COM,commercial,14.86,245,megawatts,number of customers
2017,RI,Rhode Island,Photovoltaic,IND,industrial,0,0,megawatts,number of customers
2017,RI,Rhode Island,Photovoltaic,RES,residential,11.015,1892,megawatts,number of customers
2017,RI,Rhode Island,Photovoltaic,TOT,all sectors,25.875,2137,megawatts,number of customers
2017,RI,Rhode Island,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,RI,Rhode Island,Wind,COM,commercial,9.24,17,megawatts,number of customers
2017,RI,Rhode Island,Wind,IND,industrial,0,0,megawatts,number of customers
2017,RI,Rhode Island,Wind,RES,residential,.052,10,megawatts,number of customers
2017,RI,Rhode Island,Wind,TOT,all sectors,9.292,27,megawatts,number of customers
2017,RI,Rhode Island,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,SC,South Carolina,All Technologies,COM,commercial,17.124,242,megawatts,number of customers
2017,SC,South Carolina,All Technologies,IND,industrial,7.025,16,megawatts,number of customers
2017,SC,South Carolina,All Technologies,RES,residential,90.429,12413,megawatts,number of customers
2017,SC,South Carolina,All Technologies,TOT,all sectors,114.579,12671,megawatts,number of customers
2017,SC,South Carolina,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,SC,South Carolina,Other Technologies,COM,commercial,.06,2,megawatts,number of customers
2017,SC,South Carolina,Other Technologies,IND,industrial,0,,megawatts,number of customers
2017,SC,South Carolina,Other Technologies,RES,residential,0,0,megawatts,number of customers
2017,SC,South Carolina,Other Technologies,TOT,all sectors,.06,2,megawatts,number of customers
2017,SC,South Carolina,Other Technologies,TRN,transportation,0,,megawatts,number of customers
2017,SC,South Carolina,Photovoltaic,COM,commercial,17.063,239,megawatts,number of customers
2017,SC,South Carolina,Photovoltaic,IND,industrial,7.025,16,megawatts,number of customers
2017,SC,South Carolina,Photovoltaic,RES,residential,89.989,12276,megawatts,number of customers
2017,SC,South Carolina,Photovoltaic,TOT,all sectors,114.077,12531,megawatts,number of customers
2017,SC,South Carolina,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,SC,South Carolina,Wind,COM,commercial,.001,1,megawatts,number of customers
2017,SC,South Carolina,Wind,IND,industrial,0,,megawatts,number of customers
2017,SC,South Carolina,Wind,RES,residential,.002,1,megawatts,number of customers
2017,SC,South Carolina,Wind,TOT,all sectors,.003,2,megawatts,number of customers
2017,SC,South Carolina,Wind,TRN,transportation,0,,megawatts,number of customers
2017,SD,South Dakota,All Technologies,COM,commercial,.977,15,megawatts,number of customers
2017,SD,South Dakota,All Technologies,IND,industrial,0,0,megawatts,number of customers
